ai_height_weight=1.000000;ai_line_weight=-20.000000;ai_empty_blocks_weight=10.000000;points=2313
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=0.000000;points=12374
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=0.500000;points=6664
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=1.000000;points=2313
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=1.500000;points=1465
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=2.000000;points=382
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=2.500000;points=498
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=3.000000;points=559
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=3.500000;points=2567
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=4.000000;points=2715
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=4.500000;points=1272
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=5.000000;points=1199
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=5.500000;points=1199
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=6.000000;points=2501
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=6.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=7.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=7.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=8.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=8.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=9.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=9.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=10.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=10.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=11.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=11.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=12.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=12.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=13.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=13.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=14.000000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=14.500000;points=857
ai_height_weight=0.100000;ai_line_weight=-50.000000;ai_empty_blocks_weight=15.000000;points=857
